,Unnamed: 0,dishwasher
2153886,2153886,772.0
2153887,2153887,781.0
2153888,2153888,768.0
2153889,2153889,770.0
2153890,2153890,773.0
2153891,2153891,766.0
2153892,2153892,770.0
2153893,2153893,769.0
2153894,2153894,777.0
2153895,2153895,772.0
2153896,2153896,777.0
2153897,2153897,767.0
2153898,2153898,771.0
2153899,2153899,768.0
2153900,2153900,772.0
2153901,2153901,772.0
2153902,2153902,772.0
2153903,2153903,767.0
2153904,2153904,770.0
2153905,2153905,775.0
2153906,2153906,758.0
2153907,2153907,769.0
2153908,2153908,771.0
2153909,2153909,768.0
2153910,2153910,779.0
2153911,2153911,765.0
2153912,2153912,771.0
2153913,2153913,776.0
2153914,2153914,757.0
2153915,2153915,769.0
2153916,2153916,762.0
2153917,2153917,761.0
2153918,2153918,759.0
2153919,2153919,768.0
